Iteration,Custom Metrics
1,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}}"
2,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}}"
3,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}}"
4,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}}"
5,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}}"
6,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}}"
7,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}}"
8,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}}"
9,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}}"
10,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 1}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}}"
11,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}}"
12,"{'agent-0': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-1': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-2': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-3': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}, 'agent-4': {'num_collected': 0, 'time_waited': 1, 'num_cleaned': 0}}"
